term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Positive Regulation Of Glycolytic Process (GO:0045821)	18	14350	1	15	IFNG	53.148148148148145	0.018660042231089496	0.07837217737057589	1.7290873777005382	1.1058380873026377
Negative Regulation Of Immune Effector Process (GO:0002698)	15	14350	1	15	HAVCR2	63.77777777777778	0.015572775318390355	0.07872903077630679	1.8076339822903453	1.103865095072558
Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630)	17	14350	1	15	CXCL13	56.27450980392157	0.017631958744112712	0.07891024159250443	1.753699439004872	1.1028666269748828
Endoderm Development (GO:0007492)	14	14350	1	15	EOMES	68.33333333333333	0.014541673553833125	0.07939753760392886	1.8373856090636458	1.1001929663589085
Lymphocyte Mediated Immunity (GO:0002449)	16	14350	1	15	CD8A	59.791666666666664	0.016602870077387515	0.07951900931801388	1.779816830572569	1.0995290392043042
Regulation Of Interferon-Alpha Production (GO:0032647)	26	14350	1	15	HAVCR2	36.794871794871796	0.026848632906918465	0.07967039982161675	1.5710778230406641	1.0987030033454632
Positive Regulation Of Protein Deacetylation (GO:0090312)	13	14350	1	15	IFNG	73.58974358974359	0.01350956386966244	0.08017632470473578	1.8693586711153722	1.0959538557561903
Negative Regulation Of Epithelial Cell Differentiation (GO:0030857)	15	14350	1	15	IFNG	63.77777777777778	0.015572775318390355	0.0802144841871805	1.8076339822903453	1.0957472048503785
Myeloid Cell Activation Involved In Immune Response (GO:0002275)	17	14350	1	15	IFNG	56.27450980392157	0.017631958744112712	0.08022541228571284	1.753699439004872	1.0956880423477595
Positive Regulation Of Monooxygenase Activity (GO:0032770)	26	14350	1	15	IFNG	36.794871794871796	0.026848632906918465	0.08054589872075539	1.5710778230406641	1.0939565683210017
Regulation Of NMDA Receptor Activity (GO:2000310)	16	14350	1	15	IFNG	59.791666666666664	0.016602870077387515	0.08093899162726413	1.779816830572569	1.0918422105380132
Positive Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051044)	14	14350	1	15	IFNG	68.33333333333333	0.014541673553833125	0.08101789551421312	1.8373856090636458	1.0914190420514034
Negative Regulation Of Type II Interferon Production (GO:0032689)	28	14350	1	15	HAVCR2	34.166666666666664	0.028885792424329742	0.08129712713239196	1.539315713952819	1.0899248011783078
Negative Regulation Of Leukocyte Activation (GO:0002695)	17	14350	1	15	HAVCR2	56.27450980392157	0.017631958744112712	0.08158516503631813	1.753699439004872	1.0883888036062601
Regulation Of Amyloid-Beta Clearance (GO:1900221)	15	14350	1	15	IFNG	63.77777777777778	0.015572775318390355	0.08175707042154935	1.8076339822903453	1.0874746788843885
Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)	27	14350	1	15	IFNG	35.4320987654321	0.027867710713843634	0.08180521532128293	1.5548987063918636	1.0872190079050428
Negative Regulation Of Interleukin-12 Production (GO:0032695)	13	14350	1	15	TIGIT	73.58974358974359	0.01350956386966244	0.08195802080928546	1.8693586711153722	1.08640853784996
Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)	28	14350	1	15	IFNG	34.166666666666664	0.028885792424329742	0.0821439722066877	1.539315713952819	1.0854242999516313
Positive Regulation Of Exosomal Secretion (GO:1903543)	14	14350	1	15	IFNG	68.33333333333333	0.014541673553833125	0.08270576833742589	1.8373856090636458	1.082464199398477
Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)	17	14350	1	15	CXCL13	56.27450980392157	0.017631958744112712	0.08299180581280638	1.753699439004872	1.0809647855270532
Positive Regulation Of Protein Import Into Nucleus (GO:0042307)	28	14350	1	15	IFNG	34.166666666666664	0.028885792424329742	0.08300864559833705	1.539315713952819	1.0808766722009107
Positive Regulation Of Neural Precursor Cell Proliferation (GO:2000179)	29	14350	1	15	TOX	32.98850574712644	0.029902878942527973	0.08330087705418507	1.5242869973389803	1.079350425990719
Astrocyte Development (GO:0014002)	15	14350	1	15	IFNG	63.77777777777778	0.015572775318390355	0.0833601502337366	1.8076339822903453	1.0790415113475258
Regulation Of Vasculature Development (GO:1901342)	30	14350	1	15	CXCL13	31.88888888888889	0.03091897117183194	0.08357306069217942	1.5097749656537776	1.077933692395664
Cellular Response To Interleukin-4 (GO:0071353)	13	14350	1	15	TCF7	73.58974358974359	0.01350956386966244	0.08382070310040558	1.8693586711153722	1.0766487005608036
Pyroptosis (GO:0070269)	28	14350	1	15	GZMB	34.166666666666664	0.028885792424329742	0.0838917162961917	1.539315713952819	1.0762809205117616
Positive Regulation Of Phosphate Metabolic Process (GO:0045937)	30	14350	1	15	IFNG	31.88888888888889	0.03091897117183194	0.08440879129910121	1.5097749656537776	1.0736123186130213
Regulation Of MHC Class II Biosynthetic Process (GO:0045346)	14	14350	1	15	IFNG	68.33333333333333	0.014541673553833125	0.08446546553609453	1.8373856090636458	1.0733208199586073
Receptor Signaling Pathway Via STAT (GO:0097696)	31	14350	1	15	IFNG	30.86021505376344	0.031934070014878205	0.08464078751516262	1.495745726861174	1.0724203045255902
